Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge
5717,20060901,20230409,134,51.2256,7.1052
5731,20040801,20230409,395,47.6783,8.3801
5745,19810101,20230409,51,52.9663,13.3268
5750,20060301,20230409,264,51.0314,12.1495
5779,19710101,20230409,877,50.7313,13.7516
5797,20051201,20230409,349,50.6879,12.4329
5800,20020101,20230409,615,49.028,13.2385
5822,20040701,20230409,42,52.863,8.6989
5825,20040501,20230409,40,52.6198,12.7867
5839,19970701,20230409,0,53.3881,7.2287
5856,19970103,20230409,476,48.5451,13.3532
5871,19970701,20230409,497,49.9463,7.2645
5906,19480101,20230409,98,49.5063,8.5584
5930,19910101,20230409,1,54.641,10.0238
5941,20070301,20230409,686,47.6754,12.4698
6093,20040501,20230409,62,53.2139,10.4704
6105,20040501,20230409,15,54.3194,9.8051
6109,20040901,20230409,52,53.3837,14.3728
6129,20041101,20230409,291,51.0594,14.4266
6157,20071001,20230409,4,53.6411,8.0809
6158,20041101,20230409,454,49.2249,10.6085
6159,20081201,20230409,8,52.9542,7.3197
6163,20010401,20230409,27,54.1654,10.3519
6170,20040601,20230409,39,52.0192,14.7254
6197,20020101,20230409,258,51.8664,9.271
6199,20041001,20230409,17,54.2484,13.0419
6217,20041001,20230409,190,49.2406,6.9351
6242,20020107,20210701,64,50.4088,7.489
6243,20020101,20230409,96,49.2506,8.4422
6244,20020101,20230409,145,49.365,9.0804
6245,20020101,20230409,180,49.0423,9.1733
6246,20020103,20230327,368,47.6213,8.2167
6247,20020101,20230409,307,47.6078,8.1813
6256,20020101,20230409,201,47.91,7.5838
6258,20030101,20230409,461,47.6845,9.4409
6259,20040601,20230409,524,49.021,9.6033
6260,20021201,20230409,385,49.3328,9.704
6262,20021101,20230409,412,48.7695,9.8737
6263,20040701,20230409,445,47.7738,8.8219
6264,20040601,20230409,457,51.414,8.65
6265,20040501,20230409,36,52.3613,12.3867
6266,20040901,20230409,112,52.0304,10.9626
6272,20041001,20230409,283,50.8426,10.2518
6273,20040601,20230409,36,52.5075,11.8551
6275,20040701,20230409,327,48.6705,9.4627
6305,20041201,20230409,193,51.2061,10.4978
6310,20040801,20230409,1,54.1049,13.8239
6312,20041101,20200930,362,49.5314,10.6418
6314,20050801,20230409,306,51.0507,13.3003
6336,20051101,20230409,288,50.0132,9.654
6337,20040801,20230409,59,51.7663,7.5194
6344,20041201,20230409,168,50.394,8.1423
6346,20050201,20230409,531,48.207,11.2035
6347,20050301,20230409,305,50.0579,10.2972
7075,20050201,20230409,429,48.702,11.8493
7099,20041101,20211004,187,52.0111,10.3966
7105,20050601,20230409,719,47.835,12.6548
7106,20060901,20230409,105,52.0714,8.4565
7187,20041201,20230409,194,49.7636,9.4063
7298,20050701,20230409,4,54.5268,9.0425
7319,20050301,20230409,435,48.7374,10.7393
7321,20050901,20230409,160,51.1507,11.3321
7329,20051101,20230409,465,50.5467,12.2863
7330,20051001,20230409,159,51.4633,7.978
7331,20050901,20230409,467,48.6099,10.2674
7341,20050716,20230409,119,50.09,8.7862
7343,20060401,20230409,689,50.62,13.4817
