,accidents
2147,-0.2371026526775934
2727,-0.2371026526775934
1705,-0.306324172236198
173,-0.306324172236198
1411,-0.306324172236198
868,-0.306324172236198
467,-0.306324172236198
3277,3.9929765313757546
3378,-0.2371026526775934
2936,3.9929765313757546
1464,-0.306324172236198
2809,-0.2371026526775934
1863,-0.306324172236198
1663,-0.306324172236198
3854,-0.2371026526775934
1683,-0.306324172236198
2964,-0.2371026526775934
1669,-0.306324172236198
1869,-0.306324172236198
2850,-0.2371026526775934
2827,-0.2371026526775934
546,-0.306324172236198
2322,-0.2371026526775934
2435,-0.2371026526775934
2159,-0.2371026526775934
2859,-0.2371026526775934
3065,-0.2371026526775934
3443,-0.2371026526775934
2370,-0.2371026526775934
977,-0.306324172236198
1355,-0.306324172236198
3889,-0.2371026526775934
4021,-0.2371026526775934
3454,-0.2371026526775934
1748,-0.306324172236198
1948,-0.306324172236198
1508,-0.306324172236198
687,-0.306324172236198
26,-0.306324172236198
2961,-0.2371026526775934
1895,-0.306324172236198
2397,-0.2371026526775934
395,-0.306324172236198
2931,-0.2371026526775934
2336,-0.2371026526775934
48,-0.306324172236198
1925,-0.306324172236198
2762,-0.2371026526775934
2699,-0.2371026526775934
1700,-0.306324172236198
2021,-0.2371026526775934
947,-0.306324172236198
2892,-0.2371026526775934
3770,-0.2371026526775934
3979,-0.2371026526775934
3140,-0.2371026526775934
1111,-0.306324172236198
837,-0.306324172236198
3735,-0.2371026526775934
1978,-0.306324172236198
2445,-0.2371026526775934
1736,-0.306324172236198
655,-0.306324172236198
3838,-0.2371026526775934
1350,-0.306324172236198
2954,-0.2371026526775934
2253,-0.2371026526775934
3905,3.9929765313757546
2973,-0.2371026526775934
112,-0.306324172236198
3103,-0.2371026526775934
2758,-0.2371026526775934
1628,-0.306324172236198
3241,-0.2371026526775934
3698,-0.2371026526775934
965,-0.306324172236198
2738,-0.2371026526775934
2236,-0.2371026526775934
212,-0.306324172236198
253,-0.306324172236198
3681,-0.2371026526775934
3758,-0.2371026526775934
564,-0.306324172236198
1624,-0.306324172236198
249,-0.306324172236198
3684,-0.2371026526775934
1343,-0.306324172236198
733,-0.306324172236198
1449,-0.306324172236198
1260,-0.306324172236198
78,-0.306324172236198
3818,-0.2371026526775934
697,-0.306324172236198
2293,-0.2371026526775934
1546,-0.306324172236198
872,-0.306324172236198
3601,-0.2371026526775934
1121,-0.306324172236198
1630,-0.306324172236198
3097,-0.2371026526775934
187,-0.306324172236198
825,-0.306324172236198
1365,-0.306324172236198
3155,-0.2371026526775934
3116,-0.2371026526775934
786,5.718549303160633
1492,-0.306324172236198
1241,2.7061125654622176
2107,-0.2371026526775934
101,-0.306324172236198
3836,-0.2371026526775934
1532,-0.306324172236198
250,-0.306324172236198
1611,-0.306324172236198
3017,-0.2371026526775934
3632,-0.2371026526775934
3295,-0.2371026526775934
3134,3.9929765313757546
1541,-0.306324172236198
3914,-0.2371026526775934
2642,-0.2371026526775934
2103,-0.2371026526775934
2008,-0.306324172236198
1238,-0.306324172236198
1816,2.7061125654622176
3546,-0.2371026526775934
1899,-0.306324172236198
198,-0.306324172236198
753,-0.306324172236198
1499,-0.306324172236198
4011,-0.2371026526775934
1010,-0.306324172236198
3499,-0.2371026526775934
2055,-0.2371026526775934
3766,-0.2371026526775934
3124,-0.2371026526775934
1860,-0.306324172236198
2822,3.9929765313757546
538,-0.306324172236198
3581,-0.2371026526775934
954,-0.306324172236198
2455,3.9929765313757546
839,-0.306324172236198
944,-0.306324172236198
3194,3.9929765313757546
590,-0.306324172236198
1699,-0.306324172236198
32,2.7061125654622176
3329,-0.2371026526775934
114,-0.306324172236198
3662,-0.2371026526775934
3414,-0.2371026526775934
1631,-0.306324172236198
3327,-0.2371026526775934
848,-0.306324172236198
1157,-0.306324172236198
517,-0.306324172236198
3330,-0.2371026526775934
1900,-0.306324172236198
2057,-0.2371026526775934
410,-0.306324172236198
3442,-0.2371026526775934
1638,-0.306324172236198
1113,-0.306324172236198
1565,-0.306324172236198
2720,-0.2371026526775934
338,-0.306324172236198
2213,-0.2371026526775934
555,-0.306324172236198
2258,-0.2371026526775934
3425,-0.2371026526775934
177,-0.306324172236198
3360,-0.2371026526775934
2623,-0.2371026526775934
3689,-0.2371026526775934
3791,-0.2371026526775934
2819,3.9929765313757546
1957,-0.306324172236198
3206,3.9929765313757546
3080,-0.2371026526775934
1984,2.7061125654622176
3924,-0.2371026526775934
576,-0.306324172236198
3608,-0.2371026526775934
956,-0.306324172236198
3855,-0.2371026526775934
3781,-0.2371026526775934
1514,2.7061125654622176
3037,-0.2371026526775934
3202,-0.2371026526775934
3998,-0.2371026526775934
664,5.718549303160633
1274,-0.306324172236198
3500,-0.2371026526775934
3101,-0.2371026526775934
2912,-0.2371026526775934
3769,-0.2371026526775934
2105,-0.2371026526775934
1057,-0.306324172236198
1109,-0.306324172236198
3863,-0.2371026526775934
3856,-0.2371026526775934
2933,-0.2371026526775934
3717,-0.2371026526775934
1783,-0.306324172236198
1211,-0.306324172236198
1442,-0.306324172236198
146,2.7061125654622176
983,2.7061125654622176
202,-0.306324172236198
3031,-0.2371026526775934
149,-0.306324172236198
1248,-0.306324172236198
2198,-0.2371026526775934
2626,-0.2371026526775934
2712,-0.2371026526775934
3917,-0.2371026526775934
302,-0.306324172236198
3741,-0.2371026526775934
1463,-0.306324172236198
3866,-0.2371026526775934
2422,-0.2371026526775934
1006,-0.306324172236198
3452,3.9929765313757546
593,-0.306324172236198
1896,-0.306324172236198
1974,-0.306324172236198
3522,-0.2371026526775934
2267,-0.2371026526775934
1309,-0.306324172236198
905,-0.306324172236198
3447,-0.2371026526775934
675,-0.306324172236198
902,-0.306324172236198
1866,-0.306324172236198
9,-0.306324172236198
1385,2.7061125654622176
1416,-0.306324172236198
317,-0.306324172236198
2897,-0.2371026526775934
3464,-0.2371026526775934
2362,-0.2371026526775934
2998,-0.2371026526775934
3586,-0.2371026526775934
2535,3.9929765313757546
66,-0.306324172236198
2830,-0.2371026526775934
148,-0.306324172236198
1301,2.7061125654622176
1313,-0.306324172236198
1087,-0.306324172236198
3084,-0.2371026526775934
3672,-0.2371026526775934
294,-0.306324172236198
1025,-0.306324172236198
3191,-0.2371026526775934
3558,-0.2371026526775934
3895,-0.2371026526775934
3967,-0.2371026526775934
2023,-0.2371026526775934
1792,-0.306324172236198
994,-0.306324172236198
2838,-0.2371026526775934
2840,-0.2371026526775934
2357,-0.2371026526775934
3203,-0.2371026526775934
1249,-0.306324172236198
3477,-0.2371026526775934
2380,-0.2371026526775934
2716,-0.2371026526775934
1361,-0.306324172236198
3819,-0.2371026526775934
1833,-0.306324172236198
669,-0.306324172236198
2486,-0.2371026526775934
3232,-0.2371026526775934
818,-0.306324172236198
2150,3.9929765313757546
1099,-0.306324172236198
2528,-0.2371026526775934
2316,-0.2371026526775934
1674,-0.306324172236198
263,-0.306324172236198
1335,2.7061125654622176
3424,-0.2371026526775934
901,2.7061125654622176
3104,-0.2371026526775934
3505,-0.2371026526775934
2962,-0.2371026526775934
1503,-0.306324172236198
917,-0.306324172236198
3699,-0.2371026526775934
2810,-0.2371026526775934
1063,-0.306324172236198
225,-0.306324172236198
3322,8.223055715429103
2778,-0.2371026526775934
2728,-0.2371026526775934
2832,-0.2371026526775934
1162,-0.306324172236198
3749,-0.2371026526775934
1014,-0.306324172236198
750,-0.306324172236198
3901,-0.2371026526775934
1996,-0.306324172236198
265,-0.306324172236198
2434,-0.2371026526775934
502,-0.306324172236198
2759,-0.2371026526775934
2049,-0.2371026526775934
991,5.718549303160633
2104,-0.2371026526775934
1384,-0.306324172236198
111,-0.306324172236198
3064,3.9929765313757546
3728,-0.2371026526775934
1245,-0.306324172236198
2428,-0.2371026526775934
3942,-0.2371026526775934
1875,-0.306324172236198
1196,-0.306324172236198
3239,-0.2371026526775934
2219,-0.2371026526775934
640,-0.306324172236198
1489,-0.306324172236198
2112,-0.2371026526775934
3840,-0.2371026526775934
3921,3.9929765313757546
360,-0.306324172236198
2153,-0.2371026526775934
2622,-0.2371026526775934
1244,-0.306324172236198
1001,-0.306324172236198
2474,-0.2371026526775934
1822,-0.306324172236198
2568,-0.2371026526775934
615,-0.306324172236198
2542,-0.2371026526775934
623,-0.306324172236198
900,-0.306324172236198
3270,-0.2371026526775934
1765,-0.306324172236198
3245,-0.2371026526775934
2515,-0.2371026526775934
3514,-0.2371026526775934
3467,-0.2371026526775934
3810,-0.2371026526775934
3260,-0.2371026526775934
141,-0.306324172236198
2891,-0.2371026526775934
1845,-0.306324172236198
2724,-0.2371026526775934
936,-0.306324172236198
3480,-0.2371026526775934
188,-0.306324172236198
3413,-0.2371026526775934
1284,-0.306324172236198
899,5.718549303160633
1145,5.718549303160633
3135,3.9929765313757546
3184,-0.2371026526775934
583,-0.306324172236198
3894,-0.2371026526775934
3561,-0.2371026526775934
1619,-0.306324172236198
3227,-0.2371026526775934
2014,-0.306324172236198
3181,-0.2371026526775934
791,-0.306324172236198
3705,-0.2371026526775934
1215,-0.306324172236198
2591,-0.2371026526775934
2264,-0.2371026526775934
1452,-0.306324172236198
3853,-0.2371026526775934
964,-0.306324172236198
459,-0.306324172236198
3208,-0.2371026526775934
3616,-0.2371026526775934
3893,-0.2371026526775934
788,-0.306324172236198
2366,-0.2371026526775934
1856,-0.306324172236198
3904,-0.2371026526775934
471,-0.306324172236198
2993,3.9929765313757546
1317,-0.306324172236198
3238,-0.2371026526775934
434,-0.306324172236198
1936,-0.306324172236198
1030,-0.306324172236198
647,-0.306324172236198
1641,-0.306324172236198
1519,-0.306324172236198
2966,-0.2371026526775934
827,-0.306324172236198
56,2.7061125654622176
3395,-0.2371026526775934
2006,-0.306324172236198
1835,-0.306324172236198
963,-0.306324172236198
3721,-0.2371026526775934
661,-0.306324172236198
76,-0.306324172236198
2015,-0.306324172236198
3679,-0.2371026526775934
1545,2.7061125654622176
2327,-0.2371026526775934
2682,-0.2371026526775934
2941,-0.2371026526775934
2565,3.9929765313757546
3130,-0.2371026526775934
4018,-0.2371026526775934
2579,-0.2371026526775934
2033,-0.2371026526775934
943,2.7061125654622176
3583,-0.2371026526775934
398,-0.306324172236198
3806,-0.2371026526775934
1037,-0.306324172236198
3753,-0.2371026526775934
2887,-0.2371026526775934
436,-0.306324172236198
3868,-0.2371026526775934
542,2.7061125654622176
758,-0.306324172236198
3823,-0.2371026526775934
2054,-0.2371026526775934
1106,-0.306324172236198
3715,-0.2371026526775934
2685,-0.2371026526775934
1496,-0.306324172236198
2665,-0.2371026526775934
341,-0.306324172236198
476,-0.306324172236198
262,-0.306324172236198
1480,-0.306324172236198
3732,-0.2371026526775934
2747,-0.2371026526775934
1898,-0.306324172236198
348,-0.306324172236198
2013,-0.306324172236198
1604,2.7061125654622176
2509,-0.2371026526775934
2702,-0.2371026526775934
1058,-0.306324172236198
3786,-0.2371026526775934
3548,-0.2371026526775934
2158,-0.2371026526775934
1844,-0.306324172236198
55,2.7061125654622176
3821,-0.2371026526775934
2559,-0.2371026526775934
3171,-0.2371026526775934
1626,-0.306324172236198
680,-0.306324172236198
1497,-0.306324172236198
2532,-0.2371026526775934
1183,-0.306324172236198
1120,-0.306324172236198
1334,5.718549303160633
3703,-0.2371026526775934
326,-0.306324172236198
3061,-0.2371026526775934
1761,-0.306324172236198
2365,-0.2371026526775934
1540,-0.306324172236198
2154,-0.2371026526775934
1795,-0.306324172236198
3336,-0.2371026526775934
596,-0.306324172236198
339,-0.306324172236198
2493,-0.2371026526775934
3930,3.9929765313757546
3284,-0.2371026526775934
688,-0.306324172236198
1522,-0.306324172236198
2296,-0.2371026526775934
3617,-0.2371026526775934
1730,-0.306324172236198
2980,-0.2371026526775934
482,-0.306324172236198
2905,-0.2371026526775934
4014,-0.2371026526775934
3127,-0.2371026526775934
83,-0.306324172236198
958,-0.306324172236198
2360,-0.2371026526775934
2287,-0.2371026526775934
1721,2.7061125654622176
2170,-0.2371026526775934
1229,-0.306324172236198
1391,-0.306324172236198
581,-0.306324172236198
3392,-0.2371026526775934
804,-0.306324172236198
1213,-0.306324172236198
2095,-0.2371026526775934
2952,-0.2371026526775934
332,-0.306324172236198
531,-0.306324172236198
3323,3.9929765313757546
94,-0.306324172236198
2574,-0.2371026526775934
3790,-0.2371026526775934
528,-0.306324172236198
311,-0.306324172236198
1406,-0.306324172236198
820,-0.306324172236198
3016,-0.2371026526775934
