,weather_station,temperature,percipitation,month,day,hour,accidents,road_usage
330,164,4.5,0.0,2,7,18,1,0.31
331,164,3.67,0.3,2,7,19,0,-0.12
332,164,3.35,0.0,2,7,20,0,-0.49
333,164,3.77,0.0,2,7,21,0,-0.61
334,164,3.62,0.0,2,7,22,0,-0.79
335,164,3.1,0.0,2,7,23,0,-0.9
336,164,6.08,0.0,3,1,0,0,-1.08
337,164,5.74,0.08,3,1,1,0,-1.05
338,164,5.82,0.0,3,1,2,0,-1.11
339,164,5.56,0.0,3,1,3,0,-1.15
340,164,5.4,0.02,3,1,4,0,-1.13
341,164,5.52,0.0,3,1,5,0,-1.1
342,164,5.68,0.0,3,1,6,0,-0.99
343,164,6.42,0.0,3,1,7,0,-0.95
344,164,7.26,0.0,3,1,8,0,-0.88
345,164,8.5,0.0,3,1,9,0,-0.55
346,164,9.64,0.0,3,1,10,0,-0.0
347,164,9.78,0.0,3,1,11,0,0.38
348,164,9.92,0.0,3,1,12,0,0.55
349,164,10.02,0.0,3,1,13,0,0.55
350,164,8.9,0.08,3,1,14,0,0.74
351,164,8.46,0.16,3,1,15,0,0.75
352,164,8.14,0.04,3,1,16,0,0.48
353,164,7.52,0.12,3,1,17,0,0.39
354,164,6.52,0.28,3,1,18,0,0.33
355,164,5.66,0.44,3,1,19,0,-0.01
356,164,4.68,0.54,3,1,20,0,-0.42
357,164,4.16,0.04,3,1,21,0,-0.68
358,164,4.04,0.02,3,1,22,0,-0.85
359,164,3.64,0.0,3,1,23,0,-0.96
360,164,4.92,0.03,3,2,0,0,-1.08
361,164,5.25,0.0,3,2,1,0,-1.11
362,164,4.6,0.0,3,2,2,0,-1.11
363,164,4.47,0.15,3,2,3,0,-1.09
364,164,4.45,0.0,3,2,4,0,-1.01
365,164,4.53,0.0,3,2,5,0,-0.78
366,164,4.33,0.08,3,2,6,0,-0.03
367,164,4.25,0.45,3,2,7,0,0.89
368,164,4.65,0.38,3,2,8,1,0.71
369,164,5.78,0.12,3,2,9,0,0.59
370,164,6.68,0.05,3,2,10,0,0.89
371,164,7.42,0.03,3,2,11,1,0.97
372,164,6.55,0.28,3,2,12,0,0.88
373,164,6.93,0.23,3,2,13,1,0.78
374,164,7.18,0.03,3,2,14,0,0.84
375,164,7.6,0.07,3,2,15,0,0.86
376,164,7.03,0.4,3,2,16,0,1.24
377,164,5.62,0.45,3,2,17,0,1.44
378,164,5.08,0.05,3,2,18,0,0.79
379,164,4.57,0.0,3,2,19,0,0.17
380,164,4.1,0.0,3,2,20,0,-0.42
381,164,3.97,0.0,3,2,21,0,-0.65
382,164,3.55,0.0,3,2,22,0,-0.88
383,164,3.6,0.0,3,2,23,0,-1.0
384,164,3.3,0.0,3,3,0,0,-1.07
385,164,3.15,0.0,3,3,1,0,-1.12
386,164,2.88,0.0,3,3,2,0,-1.14
387,164,2.95,0.0,3,3,3,0,-1.12
388,164,3.08,0.0,3,3,4,0,-1.07
389,164,2.93,0.0,3,3,5,0,-0.9
390,164,3.0,0.0,3,3,6,0,-0.26
391,164,3.4,0.1,3,3,7,1,0.73
392,164,4.15,0.0,3,3,8,0,0.66
393,164,4.9,0.05,3,3,9,0,0.58
394,164,5.72,0.0,3,3,10,0,0.88
395,164,6.42,0.0,3,3,11,0,1.0
396,164,6.85,0.17,3,3,12,0,0.92
397,164,7.97,0.0,3,3,13,0,0.87
398,164,8.38,0.0,3,3,14,0,0.95
399,164,7.93,0.0,3,3,15,0,0.98
400,164,7.05,0.17,3,3,16,0,1.2
401,164,6.42,0.0,3,3,17,1,1.41
402,164,5.35,0.0,3,3,18,0,0.82
403,164,4.8,0.0,3,3,19,0,0.27
404,164,4.42,0.0,3,3,20,0,-0.39
405,164,3.92,0.0,3,3,21,0,-0.62
406,164,3.27,0.0,3,3,22,0,-0.82
407,164,2.88,0.0,3,3,23,0,-0.96
408,164,2.55,0.0,3,4,0,0,-1.06
409,164,2.35,0.0,3,4,1,0,-1.12
410,164,2.5,0.0,3,4,2,0,-1.13
411,164,1.95,0.03,3,4,3,0,-1.13
412,164,1.68,0.1,3,4,4,0,-1.08
413,164,1.83,0.0,3,4,5,0,-0.92
414,164,2.15,0.0,3,4,6,0,-0.25
415,164,3.23,0.0,3,4,7,0,0.7
416,164,5.17,0.0,3,4,8,0,0.61
417,164,6.6,0.0,3,4,9,0,0.62
418,164,8.0,0.0,3,4,10,0,0.9
419,164,9.15,0.0,3,4,11,0,1.04
420,164,9.73,0.0,3,4,12,0,0.94
421,164,10.03,0.0,3,4,13,1,0.91
422,164,9.9,0.0,3,4,14,0,1.0
423,164,9.85,0.0,3,4,15,0,1.06
424,164,9.75,0.0,3,4,16,0,1.29
425,164,9.38,0.0,3,4,17,1,1.43
426,164,8.98,0.0,3,4,18,0,0.89
427,164,8.65,0.0,3,4,19,0,0.27
428,164,7.97,0.0,3,4,20,0,-0.34
429,164,7.9,0.0,3,4,21,0,-0.6
430,164,7.88,0.05,3,4,22,0,-0.82
431,164,7.47,0.08,3,4,23,0,-0.97
432,164,7.45,0.05,3,5,0,0,-1.06
433,164,7.45,0.28,3,5,1,0,-1.12
434,164,7.42,0.15,3,5,2,0,-1.13
435,164,7.58,0.0,3,5,3,0,-1.13
436,164,7.48,0.0,3,5,4,0,-1.08
437,164,7.15,0.0,3,5,5,0,-0.91
438,164,7.2,0.05,3,5,6,0,-0.23
439,164,7.62,0.03,3,5,7,1,0.72
440,164,8.35,0.0,3,5,8,0,0.68
441,164,8.97,0.03,3,5,9,0,0.65
442,164,9.57,0.03,3,5,10,0,0.96
443,164,10.2,0.25,3,5,11,0,1.08
444,164,10.93,0.03,3,5,12,0,1.03
445,164,11.33,0.0,3,5,13,0,0.99
446,164,10.93,0.03,3,5,14,0,1.05
447,164,10.75,0.03,3,5,15,0,1.11
448,164,9.45,0.03,3,5,16,0,1.37
449,164,8.95,0.15,3,5,17,0,1.57
450,164,8.32,0.03,3,5,18,0,1.04
451,164,7.67,0.03,3,5,19,0,0.46
452,164,7.75,0.03,3,5,20,0,-0.27
453,164,7.4,0.0,3,5,21,0,-0.55
454,164,7.45,0.0,3,5,22,0,-0.78
455,164,7.55,0.0,3,5,23,0,-0.93
456,164,6.36,0.06,3,6,0,0,-0.95
457,164,6.32,0.0,3,6,1,0,-1.11
458,164,6.2,0.04,3,6,2,0,-1.13
459,164,6.32,0.0,3,6,3,0,-1.12
460,164,6.26,0.0,3,6,4,0,-1.08
461,164,6.34,0.0,3,6,5,0,-0.94
462,164,6.56,0.04,3,6,6,0,-0.31
463,164,6.68,0.0,3,6,7,0,0.6
464,164,7.04,0.04,3,6,8,0,0.59
465,164,7.72,0.06,3,6,9,0,0.63
466,164,8.1,0.04,3,6,10,0,1.12
467,164,8.46,0.06,3,6,11,0,1.29
468,164,8.66,0.1,3,6,12,0,1.32
469,164,9.08,0.0,3,6,13,0,1.44
470,164,9.04,0.0,3,6,14,1,1.72
471,164,8.56,0.1,3,6,15,0,1.76
472,164,8.3,0.06,3,6,16,0,1.72
